PUBLICATION,SCENARIO,CATEGORY,PRODUCT,FLOW,UNIT,REGION,YEAR,VALUE
World Energy Outlook 2024,Stated Policies Scenario,CO2 combustion,Total,Total energy supply,Mt CO2,World,2022,34290.31
World Energy Outlook 2024,Stated Policies Scenario,CO2 combustion,Total,Total energy supply,Mt CO2,World,2023,34788.62
World Energy Outlook 2024,Stated Policies Scenario,CO2 combustion,Total,Total energy supply,Mt CO2,World,2030,33231.6
World Energy Outlook 2024,Stated Policies Scenario,CO2 combustion,Total,Total energy supply,Mt CO2,World,2035,30291.79
World Energy Outlook 2024,Stated Policies Scenario,CO2 combustion,Total,Total energy supply,Mt CO2,World,2040,28163.34
World Energy Outlook 2024,Stated Policies Scenario,CO2 combustion,Total,Total energy supply,Mt CO2,World,2050,25616.55
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,CO2 combustion,Total,Total energy supply,Mt CO2,World,2022,34290.31
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,CO2 combustion,Total,Total energy supply,Mt CO2,World,2023,34788.62
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,CO2 combustion,Total,Total energy supply,Mt CO2,World,2030,23082.09
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,CO2 combustion,Total,Total energy supply,Mt CO2,World,2035,12142.89
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,CO2 combustion,Total,Total energy supply,Mt CO2,World,2040,5678.17
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,CO2 combustion,Total,Total energy supply,Mt CO2,World,2050,777.44
