Source,Country,Type,Prod_t_est_2021,Prod_t_est_2022,Prod_notes,Reserves_t,Reserves_notes
MCS2023,United States1,Refinery production,241,250,,NA,
MCS2023,Australia,Refinery production,402,400,,NA,
MCS2023,Bulgaria,Refinery production,310,310,,NA,
MCS2023,Canada,Refinery production,1800,1800,,NA,
MCS2023,China,Refinery production,10000,10000,,NA,
MCS2023,Germany,Refinery production,417,420,,NA,
MCS2023,Japan,Refinery production,1900,1900,,NA,
MCS2023,Kazakhstan,Refinery production,1200,1200,,NA,
MCS2023,"Korea, Republic of",Refinery production,4000,4000,,NA,
MCS2023,Mexico,Refinery production,859,1200,,NA,
MCS2023,Netherlands,Refinery production,854,500,,NA,
MCS2023,Norway,Refinery production,350,350,,NA,
MCS2023,Peru,Refinery production,600,300,,NA,
MCS2023,Poland,Refinery production,500,500,,NA,
MCS2023,Russia,Refinery production,1000,1000,,NA,
MCS2023,Uzbekistan,Refinery production,300,300,,NA,
MCS2023,World total (rounded),Refinery production,24700,24000,,NA,
