Source,Country,Type,Prod_kt_2021,Prod_kt_est_2022,Prod_notes,Reserves_kt,Reserves_notes
MCS2023,United States,"Mine poduction, Bentonite",4590,4500,,NA,
MCS2023,Brazil (beneficiated),"Mine poduction, Bentonite",220,220,,NA,
MCS2023,China,"Mine poduction, Bentonite",2100,2100,,NA,
MCS2023,Czechia,"Mine poduction, Bentonite",230,230,,NA,
MCS2023,Denmark,"Mine poduction, Bentonite",1000,1000,,NA,
MCS2023,Greece,"Mine poduction, Bentonite",1300,1300,Includes production of crude ore.,NA,
MCS2023,India,"Mine poduction, Bentonite",3000,3000,,NA,
MCS2023,Iran,"Mine poduction, Bentonite",700,700,,NA,
MCS2023,Mexico,"Mine poduction, Bentonite",79,79,,NA,
MCS2023,Spain,"Mine poduction, Bentonite",210,210,,NA,
MCS2023,Turkey,"Mine poduction, Bentonite",2020,2000,,NA,
MCS2023,Ukraine,"Mine poduction, Bentonite",180,180,,NA,
MCS2023,Uzbekistan,"Mine poduction, Bentonite",50,50,,NA,
MCS2023,Other countries,"Mine poduction, Bentonite",3300,3300,,NA,
MCS2023,World total (rounded),"Mine poduction, Bentonite",19000,19000,,NA,
MCS2023,United States,"Mine poduction, Fuller's earth",2130,2100,Does not include U.S. production of attapulgite.,NA,
MCS2023,Greece,"Mine poduction, Fuller's earth",34,34,,NA,
MCS2023,India,"Mine poduction, Fuller's earth",730,730,,NA,
MCS2023,Mexico,"Mine poduction, Fuller's earth",110,110,,NA,
MCS2023,Senegal,"Mine poduction, Fuller's earth",117,120,,NA,
MCS2023,Spain,"Mine poduction, Fuller's earth",560,560,,NA,
MCS2023,Turkey,"Mine poduction, Fuller's earth",112,110,,NA,
MCS2023,Other countries,"Mine poduction, Fuller's earth",252,250,,NA,
MCS2023,World total (rounded),"Mine poduction, Fuller's earth",4040,4000,Does not include U.S. production of attapulgite.,NA,
MCS2023,United States,"Mine poduction, Kaolin",4300,4600,,NA,
MCS2023,Brazil (beneficiated),"Mine poduction, Kaolin",1200,1200,,NA,
MCS2023,China,"Mine poduction, Kaolin",8400,8400,,NA,
MCS2023,Czechia,"Mine poduction, Kaolin",3100,3100,Includes production of crude ore.,NA,
MCS2023,India,"Mine poduction, Kaolin",8400,8400,Includes production of crude ore.,NA,
MCS2023,Iran,"Mine poduction, Kaolin",1900,1900,,NA,
MCS2023,Mexico,"Mine poduction, Kaolin",240,240,,NA,
MCS2023,Spain,"Mine poduction, Kaolin",270,270,Includes production of crude ore.,NA,
MCS2023,Turkey,"Mine poduction, Kaolin",1750,1700,,NA,
MCS2023,Ukraine,"Mine poduction, Kaolin",2330,600,,NA,
MCS2023,Uzbekistan,"Mine poduction, Kaolin",5000,5000,,NA,
MCS2023,Other countries,"Mine poduction, Kaolin",12500,13000,,NA,
MCS2023,World total (rounded),"Mine poduction, Kaolin",49300,48000,,NA,
