Source,Country,Type,Prod_t_2021,Prod_t_est_2022,Prod_notes,Reserves_t,Reserves_notes
MCS2023,United States,"Gold - contained content, mine production, metric tons",187,170,,3000,
MCS2023,Australia,"Gold - contained content, mine production, metric tons",315,320,,8400,"For Australia, Joint Ore Reserves Committee-compliant or equivalent reserves were 4,200 tons. Revised based on company and Government reports."
MCS2023,Brazil,"Gold - contained content, mine production, metric tons",61,60,,2400,
MCS2023,Burkina Faso,"Gold - contained content, mine production, metric tons",67,70,,NA,
MCS2023,Canada,"Gold - contained content, mine production, metric tons",223,220,,2300,
MCS2023,China,"Gold - contained content, mine production, metric tons",329,330,,1900,
MCS2023,Colombia,"Gold - contained content, mine production, metric tons",55,60,,NA,
MCS2023,Ghana,"Gold - contained content, mine production, metric tons",88,90,,1000,
MCS2023,Indonesia,"Gold - contained content, mine production, metric tons",66,70,Estimated in 2021 also,2600,
MCS2023,Kazakhstan,"Gold - contained content, mine production, metric tons",116,120,Estimated in 2021 also,1000,
MCS2023,Mali,"Gold - contained content, mine production, metric tons",51,50,Estimated in 2021 also,800,
MCS2023,Mexico,"Gold - contained content, mine production, metric tons",120,120,Estimated in 2021 also,1400,
MCS2023,Papua New Guinea,"Gold - contained content, mine production, metric tons",54,50,Estimated in 2021 also,1100,
MCS2023,Peru,"Gold - contained content, mine production, metric tons",97,100,Estimated in 2021 also,2900,
MCS2023,Russia,"Gold - contained content, mine production, metric tons",320,320,,6800,
MCS2023,South Africa,"Gold - contained content, mine production, metric tons",107,110,Estimated in 2021 also,5000,
MCS2023,Sudan,"Gold - contained content, mine production, metric tons",50,50,,NA,
MCS2023,Tanzania,"Gold - contained content, mine production, metric tons",60,60,,NA,
MCS2023,Uzbekistan,"Gold - contained content, mine production, metric tons",100,100,,1800,
MCS2023,Other countries,"Gold - contained content, mine production, metric tons",626,620,,9200,
MCS2023,World total (rounded),"Gold - contained content, mine production, metric tons",3090,3100,,52000,
