Source,Country,Type,Prod_kt_2021,Prod_kt_est_2022,Prod_notes,Reserves_kt,Reserves_notes
MCS2023,United States,"Mine production, manganese content",0,0,,0,
MCS2023,Australia,"Mine production, manganese content",3260,3300,,270000,"For Australia, Joint Ore Reserves Committee-compliant or equivalent reserves were 135 million tons, gross weight."
MCS2023,Brazil,"Mine production, manganese content",542,400,,270000,
MCS2023,Burma,"Mine production, manganese content",206,200,,NA,
MCS2023,China,"Mine production, manganese content",991,990,,280000,
MCS2023,Côte d’Ivoire,"Mine production, manganese content",362,360,,NA,
MCS2023,Gabon,"Mine production, manganese content",4340,4600,,61000,
MCS2023,Georgia,"Mine production, manganese content",224,220,,NA,
MCS2023,Ghana,"Mine production, manganese content",940,940,,13000,
MCS2023,India,"Mine production, manganese content",453,480,,34000,
MCS2023,"Kazakhstan, concentrate","Mine production, manganese content",90,110,,5000,
MCS2023,Malaysia,"Mine production, manganese content",356,360,,NA,
MCS2023,Mexico,"Mine production, manganese content",226,230,,5000,
MCS2023,South Africa,"Mine production, manganese content",7200,7200,,640000,
MCS2023,"Ukraine, concentrate","Mine production, manganese content",600,400,,140000,
MCS2023,Vietnam,"Mine production, manganese content",146,150,,NA,
MCS2023,Other countries,"Mine production, manganese content",150,150,,NA,"Categorized as ""Small"""
MCS2023,World total (rounded),"Mine production, manganese content",20100,20000,,1700000,
