Source,Country,Type,Prod_kt_2021,Prod_kt_est_2022,Prod_notes,Reserves_kt,Reserves_notes
MCS2023,United States,"Mine production, peat",324,340,,150000,
MCS2023,Belarus,"Mine production, peat",1720,1700,,2600000,
MCS2023,Canada,"Mine production, peat",1650,1700,,720000,
MCS2023,Estonia,"Mine production, peat",347,350,,570000,
MCS2023,Finland,"Mine production, peat",5430,5400,,6000000,
MCS2023,Germany,"Mine production, peat",2600,2600,,Included with “Other countries.”,
MCS2023,Ireland,"Mine production, peat",0,0,,Included with “Other countries.”,
MCS2023,Latvia,"Mine production, peat",2000,2000,,150000,
MCS2023,Lithuania,"Mine production, peat",479,480,,210000,
MCS2023,Poland,"Mine production, peat",1100,1000,,Included with “Other countries.”,
MCS2023,Russia,"Mine production, peat",1250,1200,,1000000,
MCS2023,Sweden,"Mine production, peat",2320,2300,,Included with “Other countries.”,
MCS2023,Ukraine,"Mine production, peat",441,440,,Included with “Other countries.”,
MCS2023,Other countries,"Mine production, peat",340,440,Production in 2021 is also estimated.,1400000,
MCS2023,World total (rounded),"Mine production, peat",20000,20000,,13000000,
