Source,Country,Type,Prod_kt_2021,Prod_kt_est_2022,Prod_notes,Reserves_kt,Reserves_notes
MCS2023,United States,"Mine production, industrial sand and gravel",74600,97000,,NA,
MCS2023,Argentina,"Mine production, industrial sand and gravel",3600,3900,Production in 2021 is also estimated.,NA,
MCS2023,Australia,"Mine production, industrial sand and gravel",4000,4000,Production in 2021 is also estimated.,NA,
MCS2023,Bulgaria,"Mine production, industrial sand and gravel",8150,8600,Production in 2021 is also estimated.,NA,
MCS2023,Canada,"Mine production, industrial sand and gravel",4650,5000,,NA,
MCS2023,China,"Mine production, industrial sand and gravel",87700,88000,Production in 2021 is also estimated.,NA,
MCS2023,France,"Mine production, industrial sand and gravel",11000,12000,Production in 2021 is also estimated.,NA,
MCS2023,Germany,"Mine production, industrial sand and gravel",9870,11000,Production in 2021 is also estimated.,NA,
MCS2023,India,"Mine production, industrial sand and gravel",11900,12000,Production in 2021 is also estimated.,NA,
MCS2023,Indonesia,"Mine production, industrial sand and gravel",3540,3500,Production in 2021 is also estimated.,NA,
MCS2023,Italy,"Mine production, industrial sand and gravel",13000,14000,Production in 2021 is also estimated.,NA,
MCS2023,Malaysia,"Mine production, industrial sand and gravel",3900,4500,Production in 2021 is also estimated.,NA,
MCS2023,Mexico,"Mine production, industrial sand and gravel",2500,2700,Production in 2021 is also estimated.,NA,
MCS2023,Netherlands,"Mine production, industrial sand and gravel",54000,54000,Production in 2021 is also estimated.,NA,
MCS2023,Poland,"Mine production, industrial sand and gravel",5180,5500,Production in 2021 is also estimated.,NA,
MCS2023,Russia,"Mine production, industrial sand and gravel",7300,7300,Production in 2021 is also estimated.,NA,
MCS2023,South Africa,"Mine production, industrial sand and gravel",2080,2300,Production in 2021 is also estimated.,NA,
MCS2023,Spain,"Mine production, industrial sand and gravel",5990,6000,Production in 2021 is also estimated.,NA,
MCS2023,Turkey,"Mine production, industrial sand and gravel",11200,11000,,NA,
MCS2023,United Kingdom,"Mine production, industrial sand and gravel",5300,5300,Production in 2021 is also estimated.,NA,
MCS2023,Other countries,"Mine production, industrial sand and gravel",23200,25000,Production in 2021 is also estimated.,NA,
MCS2023,World total (rounded),"Mine production, industrial sand and gravel",353000,380000,,NA,
