Source,Country,Type,Prod_t_2021,Prod_t_est_2022,Prod_notes,Reserves_t,Reserves_notes
MCS2023,United States,"Mine production, tin content",0,0,,0,
MCS2023,Australia,"Mine production, tin content",8772,9700,,570000,"Revised based on company and Government reports. For Australia, Joint Ore Reserves Committee-compliant or equivalent reserves were 300,000 tons."
MCS2023,Bolivia,"Mine production, tin content",19628,18000,,400000,
MCS2023,Brazil,"Mine production, tin content",15517,18000,,420000,
MCS2023,Burma,"Mine production, tin content",36900,31000,Production in 2021 is also estimated.,700000,
MCS2023,China,"Mine production, tin content",90000,95000,Production in 2021 is also estimated.,720000,Revised based on company and Government reports.
MCS2023,Congo (Kinshasa),"Mine production, tin content",16700,20000,Production in 2021 is also estimated.,130000,
MCS2023,Indonesia,"Mine production, tin content",70000,74000,Production in 2021 is also estimated.,800000,
MCS2023,Laos,"Mine production, tin content",1980,1900,Production in 2021 is also estimated.,NA,
MCS2023,Malaysia,"Mine production, tin content",5000,5000,,NA,Revised based on company and Government reports.
MCS2023,Nigeria,"Mine production, tin content",1600,1700,Production in 2021 is also estimated.,NA,
MCS2023,Peru,"Mine production, tin content",26995,29000,,130000,Revised based on company and Government reports.
MCS2023,Russia,"Mine production, tin content",3000,2700,,430000,Revised based on company and Government reports.
MCS2023,Rwanda,"Mine production, tin content",2000,2200,Production in 2021 is also estimated.,NA,
MCS2023,Vietnam,"Mine production, tin content",5400,5200,Production in 2021 is also estimated.,11000,
MCS2023,Other countries,"Mine production, tin content",1180,1100,,310000,
MCS2023,World total (rounded),"Mine production, tin content",305000,310000,,4600000,
