Source,Country,Type,Prod_t_2021,Prod_t_est_2022,Prod_notes,Reserves_t,Reserves_notes
MCS2023,United States,"Mine production, contained tungsten",0,0,,NA,
MCS2023,Austria,"Mine production, contained tungsten",900,900,Production in 2021 is also estimated.,10000,
MCS2023,Bolivia,"Mine production, contained tungsten",1563,1400,,NA,
MCS2023,China,"Mine production, contained tungsten",71000,71000,Production in 2021 is also estimated.,1800000,
MCS2023,Portugal,"Mine production, contained tungsten",502,500,,3100,
MCS2023,Russia,"Mine production, contained tungsten",2300,2300,Production in 2021 is also estimated.,400000,
MCS2023,Rwanda,"Mine production, contained tungsten",1340,1100,Production in 2021 is also estimated.,NA,
MCS2023,Spain,"Mine production, contained tungsten",400,700,Production in 2021 is also estimated.,56000,
MCS2023,Vietnam,"Mine production, contained tungsten",4800,4800,,100000,
MCS2023,Other countries,"Mine production, contained tungsten",973,1400,,1400000,
MCS2023,World total (rounded),"Mine production, contained tungsten",83800,84000,,3800000,
