Source,Country,Type,Prod_kt_2021,Prod_kt_est_2022,Prod_notes,Reserves_kt,Reserves_notes
MCS2023,United States,"Mine production, zinc content of concentrates and direct shipping ores",704,770,Zinc content of concentrates and direct shipping ores.,"7,300",
MCS2023,Australia,"Mine production, zinc content of concentrates and direct shipping ores",1320,1300,,"1,166,000","For Australia, Joint Ore Reserves Committee-compliant or equivalent reserves were 23 million tons."
MCS2023,Bolivia,"Mine production, zinc content of concentrates and direct shipping ores",500,520,,NA,
MCS2023,Canada,"Mine production, zinc content of concentrates and direct shipping ores",310,250,,"1,800",
MCS2023,China,"Mine production, zinc content of concentrates and direct shipping ores",4140,4200,,"31,000",
MCS2023,India,"Mine production, zinc content of concentrates and direct shipping ores",777,830,,"9,600",
MCS2023,Kazakhstan,"Mine production, zinc content of concentrates and direct shipping ores",194,200,,"7,400",
MCS2023,Mexico,"Mine production, zinc content of concentrates and direct shipping ores",724,740,,"12,000",
MCS2023,Peru,"Mine production, zinc content of concentrates and direct shipping ores",1530,1400,,"17,000",
MCS2023,Russia,"Mine production, zinc content of concentrates and direct shipping ores",280,280,,"22,000",
MCS2023,Sweden,"Mine production, zinc content of concentrates and direct shipping ores",234,240,,"4,000",
MCS2023,Other countries,"Mine production, zinc content of concentrates and direct shipping ores",1960,2000,,"30,000",
MCS2023,World total (rounded),"Mine production, zinc content of concentrates and direct shipping ores",12700,13000,,"210,000",
