Mineral,In_USGS_MCS2024,In_WMD_2024,In_IEA
abrasives,True,False,False
aluminum,True,True,True
antimony,True,True,False
arsenic,True,True,True
asbestos,True,True,False
barite,True,False,False
baryte,False,True,False
bauxite,True,True,False
bentonite,False,True,False
beryllium,True,True,False
bismuth,True,True,False
boron,True,True,True
bromine,True,False,False
cadmium,True,True,True
cement,True,False,False
chromium,True,True,True
clays,True,False,False
coal (tot),False,True,False
cobalt,True,True,True
coking coal,False,True,False
copper,True,True,True
diamond (gemstones),False,True,False
diamond (industrial),True,True,False
diatomite,True,True,False
dysprosium,False,False,True
feldspar,True,True,False
ferromanganese,False,False,True
ferronickel,False,False,True
fluorspar,True,True,False
gallium,True,True,True
garnet (industrial),True,False,False
gemstones,True,False,False
germanium,False,True,False
gold,True,True,False
graphite,True,True,True
gypsum,True,True,False
hard coal (tot),False,True,False
helium,True,False,False
indium,True,True,True
iodine,True,False,False
iridium,False,False,True
iron,False,True,False
iron and steel,True,False,False
iron ore,True,False,False
kaolin,False,True,False
lead,True,True,True
lignite,False,True,False
lime,True,False,False
lithium,True,True,True
magnesite,False,True,False
magnesium compounds,True,False,False
magnesium metal,True,False,False
manganese,True,True,True
mercury,True,True,False
mica (natural),True,False,False
molybdenum,True,True,True
nat. gas,False,True,False
neodymium,False,False,True
nickel,True,True,True
niobium,True,True,False
nitrogen(fixed) - ammonia,True,False,False
oil sands*,False,True,False
oil shales,False,True,False
palladium,False,True,False
peat,True,False,False
perlite,True,True,False
petroleum,False,True,False
phosphate rock,True,False,False
phosphates,False,True,False
platinum,False,True,True
platinum-group metals,True,False,False
potash,True,True,False
praseodymium,False,False,True
pumice & pumicite,True,False,False
rare earths,True,True,False
rhenium,True,True,False
rhodium,False,True,False
salt,True,True,False
sand and gravel (industrial),True,False,False
selenium,True,True,True
silicon,True,False,True
silver,True,True,True
soda ash,True,False,False
steam coal,False,True,False
strontium,True,False,False
sulfur,True,True,False
talc,False,True,False
"talc, crude",True,False,False
tantalum,True,True,False
tellurium,True,True,True
terbium,False,False,True
tin,True,True,True
titanium,False,True,False
titanium & titanium dioxide,True,False,False
titanium mineral concentrates,True,False,False
tungsten,True,True,False
uranium,False,True,False
vanadium,True,True,True
vermiculite,True,True,False
wollastonite,True,False,False
zeolites (natural),True,False,False
zinc,True,True,True
zirconium,True,True,True
