Scenario,Year,Sector,CF unit,Impact value,Impact category
Net Zero Emissions by 2050 Scenario,2023,Energy transition,PDF.m2.yr,128798844850.9463,Climate change (EQ)
Net Zero Emissions by 2050 Scenario,2023,Energy transition,DALY,1339852.3160197586,Climate change (HH)
Net Zero Emissions by 2050 Scenario,2023,Total energy system,PDF.m2.yr,24440516926831.79,Climate change (EQ)
Net Zero Emissions by 2050 Scenario,2023,Total energy system,DALY,250383744.69017756,Climate change (HH)
Net Zero Emissions by 2050 Scenario,2030,Energy transition,PDF.m2.yr,180393840398.17352,Climate change (EQ)
Net Zero Emissions by 2050 Scenario,2030,Energy transition,DALY,1880491.459540619,Climate change (HH)
Net Zero Emissions by 2050 Scenario,2030,Total energy system,PDF.m2.yr,16216171016604.129,Climate change (EQ)
Net Zero Emissions by 2050 Scenario,2030,Total energy system,DALY,166128467.5700186,Climate change (HH)
Net Zero Emissions by 2050 Scenario,2035,Energy transition,PDF.m2.yr,189499894158.8811,Climate change (EQ)
Net Zero Emissions by 2050 Scenario,2035,Energy transition,DALY,1979768.4979796528,Climate change (HH)
Net Zero Emissions by 2050 Scenario,2035,Total energy system,PDF.m2.yr,8530907767702.67,Climate change (EQ)
Net Zero Emissions by 2050 Scenario,2035,Total energy system,DALY,87395886.05586855,Climate change (HH)
Net Zero Emissions by 2050 Scenario,2040,Energy transition,PDF.m2.yr,185974662272.88834,Climate change (EQ)
Net Zero Emissions by 2050 Scenario,2040,Energy transition,DALY,1945505.4724543868,Climate change (HH)
Net Zero Emissions by 2050 Scenario,2040,Total energy system,PDF.m2.yr,3989161110685.864,Climate change (EQ)
Net Zero Emissions by 2050 Scenario,2040,Total energy system,DALY,40867429.27967322,Climate change (HH)
Net Zero Emissions by 2050 Scenario,2045,Energy transition,PDF.m2.yr,158587267379.93555,Climate change (EQ)
Net Zero Emissions by 2050 Scenario,2045,Energy transition,DALY,1660186.4488681923,Climate change (HH)
Net Zero Emissions by 2050 Scenario,2050,Energy transition,PDF.m2.yr,129653512439.6964,Climate change (EQ)
Net Zero Emissions by 2050 Scenario,2050,Energy transition,DALY,1357411.3605025134,Climate change (HH)
Net Zero Emissions by 2050 Scenario,2050,Total energy system,PDF.m2.yr,546185375550.8584,Climate change (EQ)
Net Zero Emissions by 2050 Scenario,2050,Total energy system,DALY,5595460.1956597185,Climate change (HH)
Stated Policies Scenario,2023,Energy transition,PDF.m2.yr,128542059273.53157,Climate change (EQ)
Stated Policies Scenario,2023,Energy transition,DALY,1336926.1237472629,Climate change (HH)
Stated Policies Scenario,2023,Total energy system,PDF.m2.yr,24440516926831.79,Climate change (EQ)
Stated Policies Scenario,2023,Total energy system,DALY,250383744.69017756,Climate change (HH)
Stated Policies Scenario,2030,Energy transition,PDF.m2.yr,159005258042.66278,Climate change (EQ)
Stated Policies Scenario,2030,Energy transition,DALY,1655179.0424136026,Climate change (HH)
Stated Policies Scenario,2030,Total energy system,PDF.m2.yr,23346642732758.68,Climate change (EQ)
Stated Policies Scenario,2030,Total energy system,DALY,239177422.10085088,Climate change (HH)
Stated Policies Scenario,2035,Energy transition,PDF.m2.yr,154386081174.86615,Climate change (EQ)
Stated Policies Scenario,2035,Energy transition,DALY,1607929.747822277,Climate change (HH)
Stated Policies Scenario,2035,Total energy system,PDF.m2.yr,21281298488960.867,Climate change (EQ)
Stated Policies Scenario,2035,Total energy system,DALY,218018760.5478019,Climate change (HH)
Stated Policies Scenario,2040,Energy transition,PDF.m2.yr,140503809921.4526,Climate change (EQ)
Stated Policies Scenario,2040,Energy transition,DALY,1463985.0882569472,Climate change (HH)
Stated Policies Scenario,2040,Total energy system,PDF.m2.yr,19785969894353.92,Climate change (EQ)
Stated Policies Scenario,2040,Total energy system,DALY,202699691.2261154,Climate change (HH)
Stated Policies Scenario,2045,Energy transition,PDF.m2.yr,122493463580.78166,Climate change (EQ)
Stated Policies Scenario,2045,Energy transition,DALY,1277664.9741282715,Climate change (HH)
Stated Policies Scenario,2050,Energy transition,PDF.m2.yr,104266250785.34303,Climate change (EQ)
Stated Policies Scenario,2050,Energy transition,DALY,1088563.5741023074,Climate change (HH)
Stated Policies Scenario,2050,Total energy system,PDF.m2.yr,17996739275143.22,Climate change (EQ)
Stated Policies Scenario,2050,Total energy system,DALY,184369708.11268646,Climate change (HH)
