Metal,Technology,Market,Reference Product,Location,Scenario,2022,2030,2035,2040,2045,2050
Aluminium,Electricity Networks,"market for aluminium, wrought alloy (SM)","aluminium, wrought alloy",World,NZE,11045666666.666666,17872000000.0,22818000000.0,26403000000.0,25148000000.0,20759000000.0
Arsenic,Solar PV,market for arsine,arsine,GLO,NZE,0.0,551123.0,3226120.0,15291600.0,12468600.0,15810800.0
Boron,Wind,market for boric oxide,boric oxide,GLO,NZE,206005.0,705002.0,706441.0,625155.0,611907.0,865710.0
Cadmium,Solar PV,"market for cadmium, semiconductor-grade","cadmium, semiconductor-grade",GLO,NZE,670000.0,1490000.0,1420000.0,1030000.0,650000.0,520000.0
Cadmium,Other low emissions power generation,"market for cadmium, semiconductor-grade","cadmium, semiconductor-grade",GLO,NZE,20000.0,30000.0,30000.0,30000.0,20000.0,20000.0
Chromium,Wind,"market for ferrochromium, high-carbon, 68% Cr","ferrochromium, high-carbon, 68% Cr",GLO,NZE,63273700.0,154914000.0,167174000.0,146251000.0,126206000.0,160709000.0
Chromium,Other low emissions power generation,"market for ferrochromium, high-carbon, 68% Cr","ferrochromium, high-carbon, 68% Cr",GLO,NZE,148756300.0,668829000.0,584868000.0,480945000.0,379969999.999999,299481999.999999
Cobalt,Low emissions power generation,market for cobalt sulfate (SM),cobalt sulfate,World,NZE,16494.5,51267.8,46894.2,36475.8,27891.699999999997,25334.3
Cobalt,Electric vehicles,market for cobalt sulfate (SM),cobalt sulfate,World,NZE,61840900.0,236409000.0,247364000.0,278864000.0,313127000.0,322573000.0
Cobalt,Grid battery storage,market for cobalt sulfate (SM),cobalt sulfate,World,NZE,2527830.0,6633850.0,5560780.0,0.0,0.0,0.0
Cobalt,Hydrogen technologies,market for cobalt sulfate (SM),cobalt sulfate,World,NZE,5114.030000000001,64258.49999999999,69753.09999999999,59512.1,51073.8,65994.7
Copper,Solar PV,"market for copper, cathode (SM)","copper, cathode",World,NZE,1208230000.0,2564330000.0,2651290000.0,2245300000.0,1840510000.0,2390460000.0
Copper,Wind,"market for copper, cathode (SM)","copper, cathode",World,NZE,501618000.0,1419330000.0,1445270000.0,1242850000.0,1107760000.0,1451290000.0
Copper,Other low emissions power generation,"market for copper, cathode (SM)","copper, cathode",World,NZE,82822000.0,229270000.0,222860000.0,183049999.999999,150510000.0,130460000.00000001
Copper,Electric vehicles,"market for copper, cathode (SM)","copper, cathode",World,NZE,395950000.0,2611540000.0,4028100000.0,4642250000.0,5043910000.0,5123730000.0
Copper,Grid battery storage,"market for copper, cathode (SM)","copper, cathode",World,NZE,39596600.0,281990000.0,443253000.0,654388000.0,745109000.0,897638000.0
Copper,Electricity networks,"market for copper, cathode (SM)","copper, cathode",World,NZE,4143479999.9999995,7939650000.0,9793410000.0,10510100000.0,10437800000.0,9245510000.0
Copper,Hydrogen technologies,"market for copper, cathode (SM)","copper, cathode",World,NZE,2122.8900000000003,187135.0,203227.0,173466.0,148932.0,192520.0
Dysprosium,Wind,market for dysprosium oxide,dysprosium oxide,GLO,NZE,800000.0,2340000.0,2320000.0,1970000.0,1770000.0,2310000.0
Dysprosium,Electric vehicles,market for dysprosium oxide,dysprosium oxide,GLO,NZE,530000.0,2550000.0,3610000.0,3740000.0,3940000.0,4059999.9999999995
Gallium,Solar PV,"market for gallium, semiconductor-grade","gallium, semiconductor-grade",GLO,NZE,15553.900000000001,250526.00000000003,1316150.0,6124140.0,4988810.0,6322200.0
Graphite (battery-grade),Electric vehicles,"market for graphite, battery grade","graphite, battery grade",CN,NZE,685564000.0,4537460000.0,6083980000.0,5777930000.0,4660410000.0,3593250000.0
Graphite (battery-grade),Grid battery storage,"market for graphite, battery grade","graphite, battery grade",CN,NZE,86618600.0,486902000.0,698656000.0,929261000.0,981790000.0,1115710000.0
Hafnium,Other low emissions power generation,market for hafnium sponge,hafnium sponge,GLO,NZE,7904.03,16231.4,16723.9,12512.6,10591.6,9136.54
Indium,Solar PV,market for indium,indium,GLO,NZE,70000.0,120000.0,130000.0,170000.0,120000.0,150000.0
Indium,Other low emissions power generation,market for indium,indium,GLO,NZE,30000.0,50000.0,60000.0,40000.0,40000.0,30000.0
Iridium,Hydrogen technologies,"platinum group metal, extraction and refinery operations",iridium,RU,NZE,198.936,7724.9,6816.58,4475.84,2690.1099999999997,1987.1899999999998
Lanthanum,Other low emissions power generation,market for lanthanum oxide,lanthanum oxide,GLO,NZE,3024.92,80591.7,63435.7,54332.7,46804.6,60699.299999999996
Lead,Solar PV,market for lead,lead,GLO,NZE,2009999.9999999998,4570000.0,4760000.0,4019999.9999999995,3280000.0,4160000.0
Lead,Other low emissions power generation,market for lead,lead,GLO,NZE,10500000.0,27000000.0,21500000.0,17700000.0,15700000.0,14300000.0
Lithium,Electric vehicles,"market for lithium carbonate, battery grade (SM)","lithium carbonate, battery grade",World,NZE,82852700.0,559744000.0,908983000.0,1205810000.0,1410260000.0,1446840000.0
Lithium,Grid battery storage,"market for lithium carbonate, battery grade (SM)","lithium carbonate, battery grade",World,NZE,9219560.0,55847600.0,77235800.0,102087000.0,112003000.0,126312000.0
Magnesium,Other low emissions power generation,market for magnesium,magnesium,GLO,NZE,8055249.999999999,30949800.0,54578100.0,54179800.0,42314000.0,33632400.0
Manganese,Wind,market for manganese sulfate,manganese sulfate,GLO,NZE,100485000.0,242800000.0,262228000.0,228703000.0,196617000.0,249564000.0
Manganese,Other low emissions power generation,market for manganese sulfate,manganese sulfate,GLO,NZE,21543999.9999999,93848000.0,133185000.0,128042999.99999902,99763000.0,78680000.0
Manganese,Electric vehicles,market for manganese sulfate,manganese sulfate,GLO,NZE,57031600.0,518433999.99999994,1121900000.0,1762730000.0,2258650000.0,2723170000.0
Manganese,Grid battery storage,market for manganese sulfate,manganese sulfate,GLO,NZE,2661310.0,6184690.0,5184280.0,0.0,0.0,0.0
Molybdenum,Solar PV,market for molybdenite,molybdenite,GLO,NZE,259011.0,540838.0,538619.0,441696.0,296425.0,345091.0
Molybdenum,Wind,market for molybdenite,molybdenite,GLO,NZE,13239700.0,32351999.999999996,34916700.0,30532800.0,26333500.0,33517100.0
Molybdenum,Other low emissions power generation,market for molybdenite,molybdenite,GLO,NZE,15370688.9999999,71476162.0,56589881.0,45721604.0,36505675.0,28981509.0
Neodymium,Wind,market for neodymium oxide,neodymium oxide,GLO,NZE,7434920.0,22004800.0,21179200.0,17588800.0,15569700.0,19811400.0
Neodymium,Electric vehicles,market for neodymium oxide,neodymium oxide,GLO,NZE,5164000.0,25745000.0,36685800.0,37832600.0,39854000.0,41041200.0
Nickel,Solar PV,market for ferronickel,ferronickel,GLO,NZE,434666.0,990135.0,1031970.0,870808.0,707078.0,893511.0
Nickel,Wind,market for ferronickel,ferronickel,GLO,NZE,45739200.0,105425000.0,115437000.0,100648000.0,84446600.0,104668000.0
Nickel,Other low emissions power generation,"market for nickel, class 1 (SM)","nickel, class 1",World,NZE,119196134.0,759818865.0,613733030.0,492492191.99999905,374444322.0,279146489.0
Nickel,Electric vehicles,"market for nickel, class 1 (SM)","nickel, class 1",World,NZE,299268000.0,1825340000.0,2590010000.0,2921330000.0,2933510000.0,2634180000.0
Nickel,Grid battery storage,"market for nickel, class 1 (SM)","nickel, class 1",World,NZE,12105800.0,28193100.0,25242600.0,0.0,0.0,0.0
Nickel,Hydrogen technologies,"market for nickel, class 1 (SM)","nickel, class 1",World,NZE,955346.0,73976700.0,80141600.0,68261800.0,58484700.0,75442800.0
Niobium,Other low emissions power generation,"market for ferroniobium, 66% Nb","ferroniobium, 66% Nb",GLO,NZE,362905.0,1974960.0,2944910.0,2867720.0,2198950.0,1701130.0
PGMs,Hydrogen technologies,market for platinum,platinum,GLO,NZE,977.3659999999999,32054.5,60859.1,91245.5,98639.5,87478.0
Praseodymium,Wind,market for praseodymium oxide,praseodymium oxide,GLO,NZE,1230000.0,4040000.0,3970000.0,3440000.0,3280000.0,4530000.0
Praseodymium,Electric vehicles,market for praseodymium oxide,praseodymium oxide,GLO,NZE,770000.0,3860000.0,5500000.0,5670000.0,5980000.0,6160000.0
Selenium,Solar PV,market for selenium,selenium,GLO,NZE,132335.0,258087.99999999997,233784.0,167636.0,91445.2,73190.0
Silicon,Solar PV,"market for silicon, metallurgical grade","silicon, metallurgical grade",GLO,NZE,1109910000.0,1848560000.0,1793050000.0,1446980000.0,1106550000.0,1334160000.0
Silicon,Electric vehicles,"market for silicon, metallurgical grade","silicon, metallurgical grade",GLO,NZE,15953000.0,176042000.0,453049000.0,640509000.0,920296000.0,1116720000.0
Silicon,Grid battery storage,"market for silicon, metallurgical grade","silicon, metallurgical grade",GLO,NZE,238354.0,5189230.0,9865870.0,17666700.0,23954900.0,29093600.0
Silver,Solar PV,market for silver,silver,GLO,NZE,6424200.0,11494400.0,9558420.0,5944280.0,3046490.0,1504270.0
Silver,Other low emissions power generation,market for silver,silver,GLO,NZE,47439.9999999999,176199.999999999,331960.0,326970.0,253259.99999999997,199600.0
Tantalum,Other low emissions power generation,"market for tantalum powder, capacitor-grade","tantalum powder, capacitor-grade",GLO,NZE,58660.700000000004,437610.0,335397.0,266371.0,200396.0,146576.0
Tellurium,Solar PV,"market for tellurium, semiconductor-grade","tellurium, semiconductor-grade",GLO,NZE,696188.0,1550570.0,1475590.0,1072530.0,673667.0,535772.0
Terbium,Wind,market for terbium oxide,terbium oxide,GLO,NZE,280000.0,890000.0,900000.0,800000.0,770000.0,1080000.0
Terbium,Electric vehicles,market for terbium oxide,terbium oxide,GLO,NZE,110000.0,530000.0,760000.0,780000.0,820000.0,850000.0
