Scenario,Year,Metal,Technology,"Climate change, ecosystem quality, long term","Climate change, ecosystem quality, short term","Climate change, human health, long term","Climate change, human health, short term",Fisheries impact,Freshwater acidification,"Freshwater ecotoxicity, long term","Freshwater ecotoxicity, short term",Freshwater eutrophication,"Human toxicity cancer, long term","Human toxicity cancer, short term","Human toxicity non-cancer, long term","Human toxicity non-cancer, short term","Ionizing radiations, ecosystem quality","Ionizing radiations, human health","Land occupation, biodiversity","Land transformation, biodiversity","Marine acidification, long term","Marine acidification, short term","Marine ecotoxicity, long term","Marine ecotoxicity, short term",Marine eutrophication,Ozone layer depletion,Particulate matter formation,"Photochemical ozone formation, ecosystem quality","Photochemical ozone formation, human health",Terrestrial acidification,"Terrestrial ecotoxicity, long term","Terrestrial ecotoxicity, short term",Thermally polluted water,"Water availability, freshwater ecosystem","Water availability, human health","Water availability, terrestrial ecosystem",Total human health,Total ecosystem quality
SPS,2022,Aluminium,Electricity Networks,45619951815.98315,13573049639.289694,614818.8308244516,182923.61656082762,0.004427991741287741,1038316839.3025401,12886576215.26375,5384280600.824186,2193487.3290656963,669.6605962429375,10387.694381140349,19846.442053486862,6263.856106450467,5.00930271068428,78.23664822368177,851910848.8605509,1016502300.6141038,15543639635.007893,1687268958.2434812,6494.295293009132,5501.041120448421,67793541.11695123,1.1744837747049763,141499.4430539114,1769129106.7228568,180.50084026388257,8157259490.895818,237097731.79074088,200787997.96313807,30230308.93139063,177602.27117470012,3850.489610275158,4394528.660932392,980519.9464396142,108070573431.83739
SPS,2025,Aluminium,Electricity Networks,43709988703.41046,12941769381.595793,589078.3106243184,174415.86993153035,0.006091656057901786,1080772749.2069561,13182188326.32167,4897145141.867936,2190350.903241025,700.4556699508911,11144.71095831105,20941.816322496437,7132.906012041107,5.678874685117499,91.55975172858699,888300982.3452086,1168382133.7887924,14792822769.821638,1605763620.510897,7048.012983141073,5999.610318662789,66151395.75762812,1.234421366310533,133923.43658038587,1735590228.8514128,176.8218882799771,8237943114.5839405,257308708.69722232,218985773.36620215,34649033.014197625,180989.27384147033,4151.326118662647,4054054.9413310867,941758.4497191204,104824201307.08965
SPS,2030,Aluminium,Electricity Networks,46095667145.29529,13574437608.58432,621230.0329977844,182942.3222649671,0.008514367647582797,1245750257.7347035,15133393208.58924,4938700582.501636,2496686.9291774486,819.5819388813732,13416.352092725614,24751.563855076303,9061.547254064828,6.688235705002069,109.72759489638557,1057334980.5364981,1533200434.7507484,15463616167.577272,1678573185.7080824,8510.781188904453,7365.769969339544,71898089.03663893,1.4200843824709048,139905.47135126288,1887632775.4342556,192.0887066538674,9282563776.488436,310706694.72498125,268850599.7471834,37216950.24035503,198510.72103081903,4879.589941777581,4090366.023769507,997309.699879726,112586344792.23976
SPS,2035,Aluminium,Electricity Networks,39933136538.85524,11699528145.545937,538177.7781318633,157674.21903914202,0.008873841539576861,1164535878.2035565,14115988466.111883,4089018609.169171,2336427.35964084,773.7853128655985,13037.557792090673,23540.07529167066,9043.283113700636,6.340200911402409,105.4018647844661,1027754717.24695,1588340684.9158092,13282009344.145058,1441755954.2361622,8274.28349275965,7253.890205618432,64373649.378822185,1.323940420848975,122116.85640095417,1693218686.550066,172.14256339099109,8537229676.365988,302069309.6399923,264766988.35019892,32832120.503644858,179070.00552281557,4696.511486460393,3382868.3581339885,869338.9367307371,99242473480.24277
SPS,2040,Aluminium,Electricity Networks,33732720753.639923,9821564136.123943,454614.94577337214,132364.94977066095,0.00905038753823018,1082091090.52889,12941798625.114576,3251522777.4531426,2146530.0872096117,719.9796529583961,12404.5124259364,22052.04216239089,8884.179034003244,5.945314293432169,100.4486979905058,988720837.1163136,1600545983.2197046,11107874265.931622,1205750587.3186443,7928.768755190898,7029.898255215789,56684913.128254466,1.2251659516250721,105778.62177798084,1495642932.4364896,151.92635385757498,7762274517.741707,289452207.54223925,256591282.23862004,30095935.103134423,159526.99336315788,4410.079035830964,2712353.639051207,741482.9115951152,85628364946.28946
SPS,2045,Aluminium,Electricity Networks,30143008364.39319,8714394322.138115,406236.49098114826,117443.65267101549,0.009977920155248737,1066234554.5906807,12635092838.651321,2694495774.604051,2077180.9850464624,713.8332285687715,12519.47010686036,22024.35777182036,9279.102800864808,5.922899469553272,101.97396915928964,1009818446.2999939,1668945722.1904957,9815768450.058329,1065489435.2441,8083.262324610527,7266.903172148183,52863627.720158815,1.1841753940235755,97377.34008040618,1401930942.5133903,142.28656763496585,7500882960.672964,295088858.3199392,265241961.5329107,29759304.717464823,153979.8416107226,4419.458778924241,2279461.2136213616,670259.1529173878,78363542233.48817
SPS,2050,Aluminium,Electricity Networks,24737563054.4387,7088323196.624002,333387.45379164093,95529.13685933835,0.008986884376994414,963239639.4116977,11347711505.157026,1979164579.0751216,1836964.2658181996,647.6810594422423,11587.371171761279,20103.123045043358,8762.560723374585,5.3719271906914505,94.12630947546769,938153873.256821,1583549277.9451551,7949123164.507295,862863495.2597951,7545.087962790263,6866.076998981078,45470331.9219328,1.0509988401761063,82737.77821457518,1213894039.7926908,123.1044247695467,6677639686.018098,275439495.78701913,250611806.4056317,29310805.65958765,134634.31255571768,4021.6469641079175,1750351.4330679183,556995.0352502305,65945794929.93935
SPS,2022,Arsenic,Solar PV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPS,2025,Arsenic,Solar PV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPS,2030,Arsenic,Solar PV,323899.0779891605,98308.2472461401,4.365178934697642,1.3248975422954994,5.412814979300428e-07,15227.232630528031,241860.98930024027,37008.21637970691,176.41707545090173,0.01923767608968946,2.4468047796156633,0.997248631330417,0.7638861270148118,0.00022457814074471844,0.0031066171233085195,25862.507129568614,37084.83302090746,116562.33111589304,12652.695598578126,0.13319414345485647,0.257442740519002,1432.7926576877126,9.651099823541605e-05,0.976056203117672,28892.608774254066,0.002943772492720369,84406.5081999799,4862.159020461876,9396.659799351573,314.52761937459223,7.997406971106332,0.6112542796751742,126.86353814062589,11.510711168027967,1038083.0613591567
