Scenario,Year,Metal,Technology,"Climate change, long term","Climate change, short term",Fossil and nuclear energy use,Freshwater acidification,Freshwater ecotoxicity,Freshwater eutrophication,Human toxicity cancer,Human toxicity non-cancer,Ionizing radiations,"Land occupation, biodiversity","Land transformation, biodiversity",Marine eutrophication,Mineral resources use,Ozone layer depletion,Particulate matter formation,Photochemical ozone formation,Terrestrial acidification,Water scarcity
SPS,2022,Aluminium,Electricity Networks,110779042756.8782,118685436723.26028,1126537636023.9614,432381265.18423545,32753736664544.41,770049.0405992491,961.494728501795,9670.16713541473,372617621793.4013,1358891193.753406,10905290.608332016,6602014.553520002,603786368.8361741,876.4294696781587,92549895.9042458,198349781.8175195,445548752.04658365,22157152467.88672
SPS,2030,Aluminium,Electricity Networks,111725722907.52357,118814026292.02383,1158445932678.392,494434669.73989105,35935994786793.375,884976.5500517327,1237.8691065235716,12522.09247474997,522542199249.3007,1677353349.0407584,19037369.988903835,7218977.726794914,780078032.1292124,1059.6279478230924,88626756.160231,211084064.265065,508878845.6358655,24766214673.85547
SPS,2040,Aluminium,Electricity Networks,81595277784.76288,86087891921.8413,848762007842.5386,414143109.17904186,28958094314165.44,765013.7547184087,1141.2056522488374,11455.846332348314,478310045408.2007,1556338850.0148144,22333525.716578584,5865662.063525741,722845467.3635046,914.1028937849928,67325024.8505826,166950900.77076706,425896074.31772405,19903028745.8125
SPS,2050,Aluminium,Electricity Networks,59669342772.55191,62224465596.962975,624097600678.1166,357907946.365251,23800883169263.945,662364.079210098,1063.857918163935,10688.747838756755,448186448778.0094,1462308762.7618353,22688616.886327412,4871921.494586771,685550821.8840787,784.1004637251677,53712406.37999502,135279702.07368276,367742202.44818455,16797496223.796875
SPS,2022,Arsenic,Solar PV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPS,2030,Arsenic,Solar PV,791544.5280116936,850493.3062695088,12599243.658729495,4668.618586370717,500896580.7287449,58.05394079894028,0.2144335405276341,0.6522332701950361,14795406.362878382,41157.83731239056,327.76227534129066,158.9770978780447,106299.93790006086,0.0719900621598846,516.2121561941191,3234.594808545111,4922.968964398389,997839.673919797
SPS,2040,Arsenic,Solar PV,19080704.291028786,20564914.822296627,309564964.4878056,133447.46638782,15609874795.98528,1963.1400084494444,7.197751759215046,21.63874863642397,342027152.093078,1431873.2013706195,12426.927790609487,4988.713492873596,3568557.22145056,2.372110282613027,14156.333207653573,96412.17699631007,141237.4659798602,30573125.13420677
SPS,2050,Arsenic,Solar PV,18708740.995946206,20106904.93406599,307966380.49925137,158192.71956367244,19175354922.756706,2585.4102776457553,9.419075858893466,27.933376611080984,300936972.5870285,1999196.5108342795,16956.76643368098,6299.148245828723,4674826.430915249,3.0414770271057794,15863.440465976782,117854.75037738618,167870.3385602939,37736435.897764206
SPS,2022,Boron,Wind,462593.11873960646,495139.7044231457,7080482.990236465,5472.270860965586,213320708.91057575,16.381568840139405,0.00854843493260066,0.16506048486444064,3103174.2052823044,16490.371140032275,118.50741617466568,76.75053263831796,17755.762594741904,0.010408295992177961,458.15876069319006,2111.400818793462,5627.2504838381155,290798.357015118
SPS,2030,Boron,Wind,797384.1180343326,853170.9592211429,12585204.988002256,10414.852989864301,404285855.08180875,32.709249761585056,0.01703144986808676,0.32508683423540374,5501018.380010807,33208.230255064496,255.59643424226257,144.68875091085846,34894.712334051044,0.02004582427502634,820.9958448441125,3922.710523935465,10706.519829537809,534407.4640947282
SPS,2040,Boron,Wind,557203.7560615422,595068.2848379447,9042944.460289104,8280.826768434335,316995847.877588,27.494539542300437,0.014184666579321076,0.2654194298434117,3909682.2695619394,30149.775091665506,232.52975831659515,115.22806754913512,28776.468747187086,0.016683097728794546,628.3607771639408,3076.2717842909537,8512.311846898167,412458.14507327974
SPS,2050,Boron,Wind,757438.9850545698,805289.312345097,12591498.497811269,12684.409199286214,478839872.70004696,43.99148936810521,0.022333692400326885,0.41072863377721475,5357675.213624353,53649.254456568495,386.35629291942905,177.17951458327062,45344.01965924322,0.025628874978232883,931.5054847925388,4668.691385323622,13039.73400744038,624802.6042433679
SPS,2022,Cadmium,Solar PV,2243808.009982059,2413088.283797469,32753002.00984718,11524.420477264084,1407078904.6110241,26.226878801092973,0.607811711709429,1.9030790638911244,48344810.20816647,98304.36520354633,702.3657639726789,382.30822884978824,260237.63026256012,0.032277896542478715,1454.5002048250622,9041.728823240548,12209.592202834116,2553460.7704257965
SPS,2030,Cadmium,Solar PV,1513952.9670716838,1635715.9168970194,23035358.451101985,8905.724381621169,1237926946.634027,24.28744971977011,0.5741647424890849,1.7779717964140171,35964346.97570397,91625.76384899615,769.6935503491644,329.45229852493156,245576.23237139737,0.02646209174378095,1004.9288821811818,7473.594566067767,9486.075437038191,2127013.4272310734
SPS,2040,Cadmium,Solar PV,997826.7905754906,1082086.5856068456,15649228.334280334,7708.1770121717345,1182562071.5956697,25.042920524321644,0.5944426609723935,1.8202163572500285,25407700.207740866,94746.11358112075,905.0562946515988,316.14842440192825,254324.61387393172,0.02152839927239838,775.6555924863696,6897.576711429459,8256.199865043582,1937121.569425106
SPS,2050,Cadmium,Solar PV,753358.6984410196,811839.0667550373,12607894.617315447,8448.684400942442,1342563094.3539088,30.397123548625945,0.7272378669289052,2.200879101865031,21635514.238689438,118284.27854508349,1155.6296848039217,368.98645601905423,311288.78347656195,0.02123936601734712,719.7073087597071,7840.962208333561,9080.323839952114,2183092.273709774
SPS,2022,Chromium,Wind,210067600.19906428,227801019.40712672,2696887297.955,770235.8591095123,133083378175.06094,13797.2560071703,45.809381555016245,8.502865066248797,2433556117.528998,3978779.3258601287,33961.799133905224,19300.823338158385,49374190.619496495,1.4338230950140594,396706.777481541,381708.19232675387,806975.4867982632,60545428.09799194
SPS,2030,Chromium,Wind,260609004.70064285,283597664.7605984,3330853882.6419067,858813.9107847149,185343620438.8946,19876.185648713847,66.1537403709234,10.696045603472804,2935019289.604576,5681203.849093062,54583.76503470446,25593.621338385976,71280386.93535256,1.9053166861696211,527809.6211339578,474275.0834884952,906953.1980030074,68533772.40118408
SPS,2040,Chromium,Wind,195418364.72716108,213479507.33772984,2420261143.541046,558603.992459954,161036761204.09702,18004.640442407974,59.95723748531421,8.42439201146144,1941512081.7390323,5270599.800126448,55371.70075418051,21447.90117135651,64606281.846825,1.583770455779533,449465.94119391486,368366.87068504107,598363.8254995083,46103673.10588074
SPS,2050,Chromium,Wind,224185990.09399968,245171966.4373094,2665193834.3595533,571899.2526744973,212805725595.7495,24611.753213676486,81.97825321107568,10.254479430423691,1940020374.8431022,7568617.4348832425,79405.09554765576,27757.12568280305,88358937.93331803,1.8948576823622802,590851.461160931,443895.7490689393,622786.7876124331,48758563.56764221
SPS,2022,Cobalt,EV,664459191.4477121,705678240.2320848,7401359135.144651,4381549.1130955,171654652317.24536,44726.819819683835,17.24245628580531,76.9701226939297,3885299678.189601,14114954.788948607,127780.17052097931,94100.9377388864,45760265.578589976,23.92172182931361,934332.6974847042,2337592.9934492568,4526355.767645433,583144503.3362122
SPS,2030,Cobalt,EV,706320959.4859396,748699487.1923819,7917296517.290423,4796251.822025324,187129522701.40582,51837.88469440429,20.00481436479342,87.69979797453574,4396359807.717188,16711709.97828693,158793.7880126109,98181.90734286646,52819498.85301228,27.565881413701568,1000566.9162591762,2340906.7655811966,4942927.055150386,649644001.6630096
SPS,2040,Cobalt,EV,821026292.8212053,867648228.4749297,9209056217.086235,5832641.325979721,225613887731.50513,67051.89887332244,25.88376950940715,111.8089207015272,5550175538.236215,23949606.91275325,220139.67712960535,112181.41974675783,68086555.9143614,36.52304415871095,1200817.7917226802,2518754.142162813,5993795.146587278,810693346.4332886
SPS,2050,Cobalt,EV,898020747.4006325,945145715.151193,10103061448.866673,6768203.380940526,259245370326.12958,80923.09231289892,31.222768282888726,133.4681104028141,6617332258.414987,31820864.781242117,280623.7843088355,126792.85089351734,82152359.78769863,44.108032907322794,1382255.9776988328,2729903.1947018644,6946482.622114111,964938213.8522034
SPS,2022,Cobalt,Battery Storage,36933233.92728489,39224349.454931565,411396413.55936617,243543.5922035526,9541235203.514452,2486.0911256638024,0.9584029834806651,4.278299681088156,215960112.73398677,784564.2498487638,7102.520350177249,5230.497208887851,2543534.0724333273,1.3296626183174696,51933.856173963664,129932.5375659843,251592.51095666314,32413446.352053642
SPS,2030,Cobalt,Battery Storage,52108048.452609636,55234477.51495081,584089803.645221,353838.17933833756,13805273799.230446,3824.2826735634853,1.4758330787249796,6.469955706067558,324336587.7778303,1232887.940785875,11714.836277485898,7243.261744229108,3896700.173641257,2.0336424468976078,73815.718834759,172697.81042986998,364658.9826174037,47926768.505129814
SPS,2040,Cobalt,Battery Storage,36997054.3898672,39097930.21348393,414978127.6457612,262830.2531364264,10166604100.862381,3021.4900195655637,1.166373399643203,5.038329170010616,250101790.9619527,1079216.2410808636,9919.92543886219,5055.1147072791155,3068113.6942966687,1.645799973811086,54111.20391775204,113499.99970414372,270092.1602376781,36531431.56772137
SPS,2050,Cobalt,Battery Storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPS,2022,Cobalt,Hydrogen,110480.75198363434,117334.31284088669,1230636.4837396792,728.5275711414545,28541308.952592034,7.436803871655135,0.0028669323278533235,0.012797952297070779,646015.339471662,2346.917371856026,21.246224763625342,15.646321847254141,7608.6366434006895,0.003977505090549814,155.3530756284689,388.6755350396438,752.6048181610255,96960.42145693488
SPS,2030,Cobalt,Hydrogen,132812.880024739,140781.5155866755,1488726.815124487,901.8619782580072,35186851.69093175,9.747323321206391,0.0037616001259288237,0.016490608964885994,826668.3861581626,3142.382089255645,29.858749103724442,18.461609705053252,9931.900887151267,0.005183343424551177,188.14134285717466,440.17180182860443,929.4420180090817,122155.64283185825
SPS,2040,Cobalt,Hydrogen,25726.64436885923,27187.53054124934,288563.37043203996,182.76429200455493,7069552.223960472,2.101053731961723,0.0008110611546992865,0.0035035033168914413,173913.30034790965,750.4546750886402,6.898019265044626,3.5151754771476598,2133.474440008804,0.0011444400460192317,37.627311755502845,78.92450294783083,187.81400486722987,25402.864193580113
SPS,2050,Cobalt,Hydrogen,30550.084508722553,32153.245406082293,343699.61045231496,230.24989774285203,8819359.680589896,2.7529512163523564,0.0010621783654770857,0.0045404987176832085,225117.35981828553,1082.525221183893,9.546639485343652,4.31341071028811,2794.770100100484,0.0015005267269521867,47.023453582356,92.86953952920997,236.31484212166404,32826.57339953538
SPS,2022,Copper,Solar PV,3951877185.496522,4250971062.8576274,53865831829.88618,276901435.5478943,29228110620301.484,165189.17632479093,460.25182360184266,36684.67150646079,58815067937.261284,739760489.1913422,5997644.620116684,2252004.141165927,545921999.1219212,54.394630351300634,21554432.437656358,43280715.391120434,285293545.94777924,6385770113.833984
