Scenario,Year,Metal,Technology,"Climate change, long term","Climate change, short term",Fossil and nuclear energy use,Freshwater acidification,Freshwater ecotoxicity,Freshwater eutrophication,Human toxicity cancer,Human toxicity non-cancer,Ionizing radiations,"Land occupation, biodiversity","Land transformation, biodiversity",Marine eutrophication,Mineral resources use,Ozone layer depletion,Particulate matter formation,Photochemical ozone formation,Terrestrial acidification,Water scarcity
NZE,2022,Aluminium,Rest of the economy,1063195243174.1265,1139114716029.8145,10796542316777.043,3585226399.630796,315485102541709.25,6777391.606538277,9271.109620561312,93256.21705908756,3625553065254.0234,12528107281.905403,61594232.344065756,74527487.34107764,5804655789.020908,8402.29204081833,995779114.7864585,1907964084.7482026,5961026396.71213,127904227749.09029
NZE,2030,Aluminium,Rest of the economy,842788256867.7133,895436758265.5338,8504878846044.3125,3701629510.9485135,288944114677575.8,6751091.68320646,10196.322758882812,103311.10128635335,4684366510124.332,14454418345.766258,87584501.18180378,64923939.193736196,6355465580.624609,7736.223728048075,807437474.6021764,1665456700.4864676,5620095223.479361,126298611156.49924
NZE,2035,Aluminium,Rest of the economy,798364281501.1644,844873741013.1583,7882452885145.604,3946468616.1371965,297430581610404.75,7384363.514969274,11073.073245950096,113741.79387136326,5034869636342.099,17886899245.82545,103530447.29848842,65501589.243497364,6978159961.487198,7720.044718502108,793114575.8771614,1673538040.5300357,5832517520.948467,130953821292.17734
NZE,2040,Aluminium,Rest of the economy,782017335364.6554,823510783635.7859,7738236754329.516,4250157666.9296675,305061497786526.3,7988886.31668647,11908.462737476846,124614.43957692233,5305590636129.47,21787238469.13318,113995194.56687307,67232545.08914694,7612937514.360079,8918.931365401195,800233638.7822247,1713672266.525846,6107850064.369476,134592581985.97552
NZE,2045,Aluminium,Rest of the economy,758028683264.3325,794111833737.5815,7549925435297.141,4486205864.842898,310401716943761.75,8302902.544995489,12688.099918423797,134981.43182043132,5666144598847.407,24167754012.128147,122289250.06362084,68127617.39737749,8290502899.240649,9623.588271926992,801123046.8442132,1735878881.4090464,6323824461.692677,142355642673.22632
NZE,2050,Aluminium,Rest of the economy,735775797813.4878,765947653658.6971,7403517986090.908,4745522407.373536,316015034668200.8,8547524.766238913,13557.794745607905,144903.82866587353,6079657383775.037,25424623498.922367,132115056.16674435,69075226.21142244,8963480161.048075,10219.838766330005,802675986.5347731,1765717836.988467,6570957474.491741,148812030747.37936
NZE,2022,Arsenic,Rest of the economy,321745900.8352029,344501246.27961385,4988535124.21018,2082959.3445710975,170874485197.09286,18224.8512301492,69.23192837272336,212.57208795468335,6073286364.874897,12539194.871486686,73052.7869809561,57601.96599401239,34396746.7549529,23.723902125004688,294973.52812317864,1185056.5493088383,2262818.7730736407,266129239.58825758
NZE,2030,Arsenic,Rest of the economy,199158619.42882478,213797010.70886606,3626851265.168831,2020677.6542349388,177843362985.72443,22191.444972687757,83.94153428068705,253.5440061119241,5941218042.482459,16620104.757164126,96086.55957118473,59469.57917444169,41501678.842415996,26.942698610413554,201547.12178354576,1135506.6501733186,2054262.5926274047,304635532.49474245
NZE,2035,Arsenic,Rest of the economy,168865071.9985555,181903230.03818396,3171999701.066824,2155945.0249630674,195205560357.43478,25522.353251149965,94.61408304632604,286.3098646641152,5316025432.647721,23338761.154622555,108213.52278915893,64972.14708371616,46872254.25793517,29.763449519157607,185632.7742609271,1200892.8687927357,2155984.738123403,334057238.38559324
NZE,2040,Arsenic,Rest of the economy,168911702.15821174,182058467.94605684,3108874571.539469,2383431.4253039705,218290461768.4232,29164.95978335909,105.64412884819941,321.6347427198839,4773373362.779303,32507475.651393883,115671.15099952088,72723.84050714088,52564373.946677625,35.27944690779331,206045.1994316681,1320834.018069747,2379087.0541819213,367553720.05505806
