Metal,Year,Energy transition (kt),Rest of the economy (kt)
Aluminium,2023,11045.666666666666,100065.44444444444
Aluminium,2030,17872.0,121513.49172562506
Aluminium,2035,22818.0,137047.29954651624
Aluminium,2040,26403.0,153044.40852322735
Aluminium,2045,25148.0,170972.8660702059
Aluminium,2050,20759.0,189969.26306147836
Arsenic,2023,0.0,61.5
Arsenic,2030,0.551123,74.6819222421476
Arsenic,2035,3.22612,84.22896604221987
Arsenic,2040,15.2916,94.06075370408293
Arsenic,2045,12.4686,105.07954390944035
Arsenic,2050,15.8108,116.75468732632564
Boron,2023,0.206005,3055.681995
Boron,2030,0.705002,3710.6374820702517
Boron,2035,0.706441,4184.9908128890675
Boron,2040,0.625155,4673.491894791801
Boron,2045,0.611907,5220.97024986811
Boron,2050,0.86571,5801.060095852162
Cadmium,2023,0.6900000000000001,23.41
Cadmium,2030,1.52,28.427704059978467
Cadmium,2035,1.45,32.06179016338808
Cadmium,2040,1.06,35.804264133537906
Cadmium,2045,0.67,39.998571104390216
Cadmium,2050,0.54,44.44271919202087
Chromium,2023,212.03,15487.97
Chromium,2030,823.7429999999999,18807.664572824633
Chromium,2035,752.042,21211.962588502764
Chromium,2040,627.196,23687.96961863781
Chromium,2045,506.175999999999,26462.907702164142
Chromium,2050,460.190999999999,29403.139750723767
Cobalt,2023,64.39033853,135.60966147
Cobalt,2030,243.1583763,164.67626330384553
Cobalt,2035,253.0414273,185.72783042200913
Cobalt,2040,278.9599879,207.40726776298754
Cobalt,2045,313.2059655,231.7040874305887
Cobalt,2050,322.66432899999995,257.44818899770274
Copper,2023,6371.698722889999,20628.30127711
Copper,2030,15046.297134999999,25049.775479101194
Copper,2035,18584.386227,28252.040451680958
Copper,2040,19478.111466,31549.81407739615
Copper,2045,19325.747932,35245.731541873894
Copper,2050,19239.28052,39161.80269401987
Dysprosium,2023,1.33,0.046958942120280955
Dysprosium,2030,4.89,0.05702413112195663
Dysprosium,2035,5.93,0.06431387221508476
Dysprosium,2040,5.71,0.07182103234113875
Dysprosium,2045,5.71,0.0802345401702265
Dysprosium,2050,6.369999999999999,0.08914921308013701
Gallium,2023,0.0155539,0.6174461
Gallium,2030,0.250526,0.7497896199823951
Gallium,2035,1.31615,0.8456397819479853
Gallium,2040,6.12414,0.9443487079292123
Gallium,2045,4.98881,1.0549748711652471
Gallium,2050,6.3222,1.1721906722985236
