Scenario,Year,Metal,Technology,"Climate change, ecosystem quality, long term","Climate change, ecosystem quality, short term","Climate change, human health, long term","Climate change, human health, short term",Fisheries impact,Freshwater acidification,"Freshwater ecotoxicity, long term","Freshwater ecotoxicity, short term",Freshwater eutrophication,"Human toxicity cancer, long term","Human toxicity cancer, short term","Human toxicity non-cancer, long term","Human toxicity non-cancer, short term","Ionizing radiations, ecosystem quality","Ionizing radiations, human health","Land occupation, biodiversity","Land transformation, biodiversity","Marine acidification, long term","Marine acidification, short term","Marine ecotoxicity, long term","Marine ecotoxicity, short term",Marine eutrophication,Ozone layer depletion,Particulate matter formation,"Photochemical ozone formation, ecosystem quality","Photochemical ozone formation, human health",Terrestrial acidification,"Terrestrial ecotoxicity, long term","Terrestrial ecotoxicity, short term",Thermally polluted water,"Water availability, freshwater ecosystem","Water availability, human health","Water availability, terrestrial ecosystem",Total human health,Total ecosystem quality
NZE,2022,Aluminium,Rest of the economy,437832734575.5801,130256363713.15584,5900659.6730347155,1755461.4300989711,0.04555638849997423,9961849680.722313,124165752278.9814,51824024648.05577,21195734.718809646,6453.479112005417,100164.28208011741,191294.19098451745,60497.5972658634,48.750940328124564,761.3661236376918,8255152470.096632,9883720853.056444,149113853124.23282,16186372839.672207,62744.829222829096,53176.20712586934,652115518.5428483,11.259071189707807,1361826.0994433877,17016602513.733103,1736.2472817970915,78481696899.0877,2290725587.4833713,1940931531.668353,292551068.5236917,1702519.4672135795,37148.28194805281,42083955.58390282,9416013.91886314,1038219552989.9133
NZE,2030,Aluminium,Rest of the economy,347893817210.8101,102156651046.78389,4688555.365314188,1376762.3763842946,0.11813841760578257,10055128056.883675,123307933617.07104,38155666813.58698,21113483.693272844,6696.515333063676,110561.19702834392,202883.21134579036,76056.76299529166,59.8481168004259,983.7169408766962,9524457656.689106,14054250655.513794,115686068636.86742,12557669910.698454,71655.00352097597,62528.511516701146,568084470.4803302,10.36653969135874,1104250.339107706,14874962772.308632,1515.5655664924625,74810421501.57031,2615921457.723889,2282290634.389502,316181238.1880328,1596322.9856032885,39865.40252334558,30304448.81755217,7608140.834777756,868912660978.68
NZE,2035,Aluminium,Rest of the economy,329943691813.3414,96254202494.53403,4446642.020082115,1297215.2399738028,0.14645272627273348,10652704681.40776,131053451448.35828,35264633334.558784,23093989.14573463,7202.8165883808315,120137.5264151824,220185.87282175318,86916.97107083218,63.24991580756474,1057.3225953247431,11786224171.087534,16613017717.855757,108295270711.9179,11755358939.12701,79249.12596114194,71026.67280766733,573138908.0241935,10.344859844776167,1084662.3627996917,14942283481.101023,1522.91958584001,77905611199.03865,2893127560.477483,2592473515.2282753,309876215.18354857,1601654.741034421,42733.5286557347,27996495.214899234,7308286.943324049,850887915484.8484
NZE,2040,Aluminium,Rest of the economy,323561155289.604,93776760235.20554,4360624.750894077,1263826.8191262186,0.16280821647269195,11368542490.68222,138409165145.9993,32281137919.759373,24984584.384358242,7748.503544734281,129198.81865213426,238481.84395316272,97977.14299983144,65.27849146099555,1114.1740036744047,14356276860.835808,18292243865.127098,105184469985.49544,11417663198.967068,86698.30496981113,79246.2771189298,588284771.1267896,11.951367983101802,1094398.3829284974,15311071305.424479,1559.441730687734,81711453976.04987,3165042304.8547773,2892489066.8938007,317467692.1948765,1612559.297420491,45451.429445784044,26648127.246104904,7240393.278356321,852686642502.6104
NZE,2045,Aluminium,Rest of the economy,314001110168.2526,90391411638.33226,4231784.286159173,1218202.5695266593,0.15973526798814955,12005177450.786953,144961469689.01593,28816300705.092896,25966644.239586584,8241.194271867584,137671.95557270743,255465.3933153224,108984.47230450025,68.28145503435756,1189.8903337271554,15924871298.814901,19623149808.10709,101100349908.80383,10974313832.047056,93882.1107710363,87423.24759171867,596116653.1902156,12.895608245234317,1095614.7359405751,15519981168.737928,1579.6497497519117,84778391956.45445,3427264119.289578,3190948483.7044,330220603.96129423,1668685.669027841,48491.03973409402,25079467.994054683,7107238.10371641,845693981001.8374
NZE,2050,Aluminium,Rest of the economy,305228713640.4637,87146161984.89343,4113558.939663816,1174466.4295851074,0.15881653844008026,12725962850.35765,152020652940.14365,25012653383.15005,26731680.051067196,8723.68297447125,147190.95745637032,271898.5653488644,119341.77135552096,72.22507242259697,1276.7280161503224,16753061011.33829,21199848144.87699,97140343872.4567,10544427084.038538,101496.9845160406,95611.31967213743,604408229.5811296,13.694583903132402,1097738.5337937705,15802119849.186539,1606.8031986689882,88318578155.3606,3705222031.5750613,3489813109.2188945,376613803.65236014,1715211.600959999,52079.43616943145,23300513.67517657,6987895.565176602,840120532335.8766
NZE,2022,Arsenic,Rest of the economy,131779788.45314664,39860842.01453068,1775.9925719550756,537.20347074216,0.00014352591712114203,5628593.445780291,81673112.74255528,13479028.149944134,56996.72087980721,6.423310468562098,789.7438604417601,327.38541581100384,246.55923042791846,0.0918762148071266,1.2753901027937287,8262458.441672991,11722417.624893805,47503780.9706476,5156513.496637383,44.619381148208774,82.9363675947811,504017.20098687935,0.031790029071200744,403.4053756222118,10569720.338739768,1.078401437854913,31429377.176250312,1628805.8562983123,3027177.344196899,111694.91471062203,2812.151479621554,198.4692358784906,45346.27372549652,4287.568082670953,392442613.4518111
NZE,2030,Arsenic,Rest of the economy,81339878.47554784,24704644.495152473,1096.2152973170644,332.94381391170367,0.00035252231781012785,5339768.368164301,89449912.69221991,9625122.349500308,69401.91593955869,7.304367732224622,958.0232699419315,384.78962040907305,299.7792059032407,0.08886707061797751,1.247655755753454,10951494.607187368,15418532.94941794,29156719.475700986,3164867.8184433267,51.93024739008672,101.88051667019394,520358.8159459915,0.03610321644195514,275.6355548631108,10137388.005798891,1.0333110305038373,28852656.113396447,1895657.0827905335,3718638.7664119476,127102.96559588356,3003.745430815607,238.98296442328135,44322.17219898585,3595.991202063749,314519626.400788
NZE,2035,Arsenic,Rest of the economy,68813554.09735243,20995203.958950706,927.3983694021991,282.9517858789859,0.00041777661560173416,5621049.166753735,99374783.4468904,9374322.044460643,79819.05714827424,8.183993902378544,1079.8779537022365,433.6262820309033,339.410363498345,0.07955406541168615,1.1163653111594805,15378622.56361158,17364486.615227908,24564095.784652043,2666340.3574679163,57.44244042834953,117.31461675740096,568506.285124506,0.039883022727977904,253.87111558180504,10708413.689455898,1.0928124883352044,30296418.14718019,2096870.304984717,4281983.404530533,124038.93798985738,3165.524205835378,268.6714594574959,48172.789192500306,3596.2404271451496,312360022.4767984
NZE,2040,Arsenic,Rest of the economy,68764682.04014769,21016240.81086563,926.7397220488884,283.2352989461807,0.0004652020199087478,6145555.8082430335,111465496.15674095,10134751.024150714,91211.00898697582,9.199156475479763,1205.7083169573662,487.3836592218447,381.03015839458516,0.07130636661081034,1.0024083795022773,21420168.715710763,18561175.200940143,24501475.423933867,2659584.2285635923,63.70558977696997,134.27605609901187,636333.6024800539,0.04727445939159423,281.7871188361951,11763578.54015832,1.2019589320715884,33378432.54584588,2325500.640261908,4901075.924122176,126221.89855154346,3397.189562705274,299.69794070784644,54074.42545943701,3877.0330614659288,337949154.7107875
