Metal,Technology,Market,Reference Product,Location,Scenario,2023,2030,2035,2040,2045,2050
Aluminium,Electricity networks,"market for aluminium, wrought alloy (SM)","aluminium, wrought alloy",World,SPS,10773333333,14527000000,14482000000,14174000000,14943000000,14343000000
Arsenic,Solar PV,market for arsine,arsine,GLO,SPS,0,343221,1976740,10945800,11461500,12565100
Boron,Wind,market for boric oxide,boric oxide,GLO,SPS,206005,401025,349539,292967,331853,466954
Cadmium,Solar PV,"market for cadmium, semiconductor-grade","cadmium, semiconductor-grade",GLO,SPS,670000,660000,680000,670000,680000,720000
Cadmium,Low emissions power generation,"market for cadmium, semiconductor-grade","cadmium, semiconductor-grade",GLO,SPS,20000,30000,20000,10000,20000,20000
Chromium,Wind,"market for ferrochromium, high-carbon, 68% Cr","ferrochromium, high-carbon, 68% Cr",GLO,SPS,63273700,88412600,78892300,69503600,77451800,97374400
Chromium,Low emissions power generation,"market for ferrochromium, high-carbon, 68% Cr","ferrochromium, high-carbon, 68% Cr",GLO,SPS,148756300,295403400,222601700,246772400,250290200,224666600
Cobalt,Low emissions power generation,market for cobalt sulfate (SM),cobalt sulfate,World,SPS,16494.5,28895.2,13556.6,16180.4,17134.6,19779.5
Cobalt,Electric vehicles,market for cobalt sulfate (SM),cobalt sulfate,World,SPS,61840900,150718000,160685000,187206000,203124000,216036000
Cobalt,Grid battery storage,market for cobalt sulfate (SM),cobalt sulfate,World,SPS,2527830,4134460,3265340,0,0,0
Cobalt,Hydrogen technologies,market for cobalt sulfate (SM),cobalt sulfate,World,SPS,5114.03,4095.54,4519.73,3567.99,3431.21,4695.07
Copper,Solar PV,"market for copper, cathode (SM)","copper, cathode",World,SPS,1208230000,1691180000,1727660000,1683970000,1772880000,1958850000
Copper,Wind,"market for copper, cathode (SM)","copper, cathode",World,SPS,501618000,803565000,691799000,579893000,626262000,804512000
Copper,Low emissions power generation,"market for copper, cathode (SM)","copper, cathode",World,SPS,82822000,123155000,80941000,82857000,107788000,103818000
Copper,Electric vehicles,"market for copper, cathode (SM)","copper, cathode",World,SPS,395950000,1644590000,2594140000,3131080000,3286870000,3470400000
Copper,Grid battery storage,"market for copper, cathode (SM)","copper, cathode",World,SPS,39596600,175747000,260282000,380677000,454317000,544674000
Copper,Electricity networks,"market for copper, cathode (SM)","copper, cathode",World,SPS,4143480000,6103960000,6168150000,6125220000,6312070000,6084430000
Copper,Hydrogen technologies,"market for copper, cathode (SM)","copper, cathode",World,SPS,2122.89,11927.1,13168.4,10400,10005.5,13696.5
Dysprosium,Wind,market for dysprosium oxide,dysprosium oxide,GLO,SPS,800000,1330000,1130000,940000,1020000,1330000
Dysprosium,Electric vehicles,market for dysprosium oxide,dysprosium oxide,GLO,SPS,530000,1770000,2470000,2810000,2980000,3110000
Gallium,Solar PV,"market for gallium, semiconductor-grade","gallium, semiconductor-grade",GLO,SPS,15553.9,159822,811249,4388510,4591980,5031450
Graphite,Electric vehicles,"market for graphite, battery grade","graphite, battery grade",CN,SPS,685564000,2791720000,3825600000,3674590000,2768200000,2215230000
Graphite,Grid battery storage,"market for graphite, battery grade","graphite, battery grade",CN,SPS,86618600,303455000,410257000,540578000,598629000,677000000
Hafnium,Low emissions power generation,market for hafnium sponge,hafnium sponge,GLO,SPS,7904.03,12846,8119.87,6292.4,10194.9,7471.83
Indium,Solar PV,market for indium,indium,GLO,SPS,60000,80000,90000,130000,130000,130000
Indium,Low emissions power generation,market for indium,indium,GLO,SPS,30000,40000,30000,20000,30000,20000
Iridium,Hydrogen technologies,"platinum group metal, extraction and refinery operations",iridium,RU,SPS,198.936,492.349,441.688,268.345,180.725,141.375
Lanthanum,Low emissions power generation,market for lanthanum oxide,lanthanum oxide,GLO,SPS,3024.92,5136.54,4110.39,3257.47,3144.4,4318.34
Lead,Solar PV,market for lead,lead,GLO,SPS,2010000,2850000,2920000,2880000,3020000,3310000
Lead,Low emissions power generation,market for lead,lead,GLO,SPS,10500000,13600000,9600000,10100000,14400000,14200000
Lithium,Electric vehicles,"market for lithium carbonate, battery grade (SM)","lithium carbonate, battery grade",World,SPS,82852700,346685000,581513000,808254000,908760000,964436000
Lithium,Grid battery storage,"market for lithium carbonate, battery grade (SM)","lithium carbonate, battery grade",World,SPS,9219560,34806300,45353600,59387000,68291700,76644700
Magnesium,Low emissions power generation,market for magnesium,magnesium,GLO,SPS,8055250,7724760,10170800,12133000,12894100,15102800
Manganese,Wind,market for manganese sulfate,manganese sulfate,GLO,SPS,100485000,138593000,123513000,108745000,121214000,151898000
Manganese,Low emissions power generation,market for manganese sulfate,manganese sulfate,GLO,SPS,21544000,30754000,31158000,36491000,37057000,39407000
Manganese,Electric vehicles,market for manganese sulfate,manganese sulfate,GLO,SPS,57031600,325511000,725719000,1187030000,1475500000,1854000000
Manganese,Grid battery storage,market for manganese sulfate,manganese sulfate,GLO,SPS,2661310,3854530,3044250,0,0,0
Molybdenum,Solar PV,market for molybdenite,molybdenite,GLO,SPS,259011,408536,425333,415712,401002,422775
Molybdenum,Wind,market for molybdenite,molybdenite,GLO,SPS,13239700,18464400,16473100,14511400,16171500,20321600
Molybdenum,Low emissions power generation,market for molybdenite,molybdenite,GLO,SPS,15370689,30667764,22999267,26283188,26378398,24156625
Neodymium,Wind,market for neodymium oxide,neodymium oxide,GLO,SPS,7434920,12885500,10906800,8920510,9697750,12803300
Neodymium,Electric vehicles,market for neodymium oxide,neodymium oxide,GLO,SPS,5164000,17933300,25232600,28716500,30390400,31744100
Nickel,Solar PV,market for ferronickel,ferronickel,GLO,SPS,434666,617580,633609,624495,651396,711285
Nickel,Wind,market for ferronickel,ferronickel,GLO,SPS,45739200,60213600,53950800,47970500,53245800,65282900
Nickel,Low emissions power generation,"market for nickel, class 1 (SM)","nickel, class 1",World,SPS,119196134,317812820,237831591,276604005,235753804,203107815
Nickel,Electric vehicles,"market for nickel, class 1 (SM)","nickel, class 1",World,SPS,299268000,1184460000,1759430000,2081340000,1997760000,1799250000
Nickel,Grid battery storage,"market for nickel, class 1 (SM)","nickel, class 1",World,SPS,12105800,17571000,14822700,0,0,0
Nickel,Hydrogen technologies,"market for nickel, class 1 (SM)","nickel, class 1",World,SPS,955346,4714930,5192870,4092580,3929090,5367230
